route_type,route_id,route_short_name,route_long_name,agency_id,route_desc,route_url,route_color,route_text_color
3,L19,L19,L19,VtlsTrnsprt,,https://osm.org/relation/12032655,,000000
3,L14,L14,L14,VtlsTrnsprt,,https://osm.org/relation/12032657,,000000
3,L16,L16,L16,VtlsTrnsprt,,https://osm.org/relation/12032656,,000000
3,L11,L11,L11,VtlsTrnsprt,,https://osm.org/relation/12032660,,000000
3,L12,L12,L12,VtlsTrnsprt,,https://osm.org/relation/12032659,,000000
3,L13,L13,L13,VtlsTrnsprt,,https://osm.org/relation/12032658,,000000
3,L21,L21,L21,VtlsTrnsprt,,https://osm.org/relation/12032654,,000000
3,L23,L23,L23,VtlsTrnsprt,,https://osm.org/relation/12032653,,000000
3,L25,L25,L25,VtlsTrnsprt,,https://osm.org/relation/12032652,,000000
3,L24,L24,L24,VtlsTrnsprt,,https://osm.org/relation/12032801,,000000
3,L27,L27,L27,VtlsTrnsprt,,https://osm.org/relation/12032650,,000000
3,L26,L26,L26,VtlsTrnsprt,,https://osm.org/relation/12032651,,000000
3,L29,L29,L29,VtlsTrnsprt,,https://osm.org/relation/12032649,,000000
3,L6,L6,L6,VtlsTrnsprt,,https://osm.org/relation/12032664,,000000
3,L7,L7,L7,VtlsTrnsprt,,https://osm.org/relation/12032663,,000000
3,L4,L4,L4,VtlsTrnsprt,,https://osm.org/relation/12032666,,000000
3,L5,L5,L5,VtlsTrnsprt,,https://osm.org/relation/12032665,,000000
3,L2,L2,L2,VtlsTrnsprt,,https://osm.org/relation/10205649,,000000
3,L3,L3,L3,VtlsTrnsprt,,https://osm.org/relation/12032669,,000000
3,L1,L1,L1,VtlsTrnsprt,,https://osm.org/relation/12032645,,000000
3,L8,L8,L8,VtlsTrnsprt,,https://osm.org/relation/12032662,,000000
3,L9,L9,L9,VtlsTrnsprt,,https://osm.org/relation/12032661,,000000
3,L36,L36,L36,VtlsTrnsprt,,https://osm.org/relation/12032646,,000000
3,L34,L34,L34,VtlsTrnsprt,,https://osm.org/relation/12032648,,000000
3,L35,L35,L35,VtlsTrnsprt,,https://osm.org/relation/12032647,,000000
