route_id,trip_id,trip_headsign,service_id,shape_id,block_id,wheelchair_accessible,bikes_allowed,direction_id
L14,344,Tamuda,Mo-Su,relation/10179358,,,,
L14,345,Tamuda,Mo-Su,relation/10179358,,,,
L14,346,Tamuda,Mo-Su,relation/10179358,,,,
L14,347,Tamuda,Mo-Su,relation/10179358,,,,
L14,340,Tamuda,Mo-Su,relation/10179358,,,,
L14,341,Tamuda,Mo-Su,relation/10179358,,,,
L14,342,Tamuda,Mo-Su,relation/10179358,,,,
L14,343,Tamuda,Mo-Su,relation/10179358,,,,
L14,348,Tamuda,Mo-Su,relation/10179358,,,,
L14,349,Tamuda,Mo-Su,relation/10179358,,,,
L36,1653,Ahrik,Mo-Su,relation/11984007,,,,
L7,2318,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2319,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2316,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2317,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2314,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2315,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2312,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2313,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2310,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L7,2311,Lot Souani (Place Palestine),Mo-Su,relation/11976409,,,,
L13,298,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,299,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,296,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,297,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,294,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,295,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,292,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,293,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,290,Rif (Rommana),Mo-Su,relation/11981829,,,,
L13,291,Rif (Rommana),Mo-Su,relation/11981829,,,,
L5,2147,Dar Takafa,Mo-Su,relation/11976055,,,,
L13,270,Bouanane,Mo-Su,relation/10186047,,,,
L13,271,Bouanane,Mo-Su,relation/10186047,,,,
L13,272,Bouanane,Mo-Su,relation/10186047,,,,
L13,273,Bouanane,Mo-Su,relation/10186047,,,,
L13,274,Bouanane,Mo-Su,relation/10186047,,,,
L13,275,Bouanane,Mo-Su,relation/10186047,,,,
L13,276,Bouanane,Mo-Su,relation/10186047,,,,
L13,277,Bouanane,Mo-Su,relation/10186047,,,,
L13,278,Bouanane,Mo-Su,relation/10186047,,,,
L13,279,Bouanane,Mo-Su,relation/10186047,,,,
L36,1780,Rif (Rommana),Mo-Su,relation/11984006,,,,
L5,2146,Dar Takafa,Mo-Su,relation/11976055,,,,
L6,2268,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2269,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2262,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2263,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2260,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2261,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2266,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2267,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2264,Dar Takafa,Mo-Su,relation/11976231,,,,
L6,2265,Dar Takafa,Mo-Su,relation/11976231,,,,
L7,2442,Rif (Rommana),Mo-Su,relation/11976408,,,,
L7,2443,Rif (Rommana),Mo-Su,relation/11976408,,,,
L7,2440,Rif (Rommana),Mo-Su,relation/11976408,,,,
L7,2441,Rif (Rommana),Mo-Su,relation/11976408,,,,
L36,1781,Rif (Rommana),Mo-Su,relation/11984006,,,,
